"Ident";"Hodnota";"Jazky";"Skupina";"Systémový překlad"
"ID___ModuleName__";"ID";"1";"__ModuleName__";"False"
"Name___ModuleName__";"Název";"1";"__ModuleName__";"False"
"State___ModuleName__";"Stav";"1";"__ModuleName__";"False"
"CreateDate___ModuleName__";"Vytvořeno";"1";"__ModuleName__";"False"
"AccountID___ModuleName__";"Autor";"1";"__ModuleName__";"False"
"SaveButton___ModuleName__";"Uložit";"1";"__ModuleName__";"False"
"BackButton___ModuleName__";"Zpět";"1";"__ModuleName__";"False"
"DeleteButton___ModuleName__";"Smazat";"1";"__ModuleName__";"False"
"BasicInformation___ModuleName__";"Základní informace";"1";"__ModuleName__";"False"
"TimeLine___ModuleName__";"Časová osa";"1";"__ModuleName__";"False"
"New___ModuleName__";"Nový";"1";"__ModuleName__";"False"
"Saved___ModuleName__";"Uloženo";"1";"__ModuleName__";"False"
"Deleted___ModuleName__";"Smazáno";"1";"__ModuleName__";"False"
"DeleteDialogTitle___ModuleName__";"Smazat";"1";"__ModuleName__";"False"
"DeleteDialogDescription___ModuleName__";"Opravdu chcete smazat tento záznam?";"1";"__ModuleName__";"False"
"BasicExport___ModuleName__";"Export";"1";"__ModuleName__";"False"
"SelectValue___ModuleName__";"Vyberte hodnotu";"1";"__ModuleName__";"False"